"t","year","l","al","ga","sigma","rr","etree","cost1","pbacktime","partfract","forcoth","cpricebase"
"301",2310.0000000000,10499.1972469250,34.8098493398,0.0026117224,0.0408624480,0.0114864896,0.0000050572,0.0010990102,75.3070065023,1.0000000000,0.7000000000,380.2345080615
"302",2311.0000000000,10499.2200154017,34.9010010673,0.0025960990,0.0405602937,0.0113167386,0.0000048365,0.0010853739,74.9266486316,1.0000000000,0.7000000000,387.8391982228
"303",2312.0000000000,10499.2421381196,34.9918433574,0.0025805691,0.0402606725,0.0111494961,0.0000046254,0.0010719147,74.5482118586,1.0000000000,0.7000000000,395.5959821872
"304",2313.0000000000,10499.2636333925,35.0823758510,0.0025651320,0.0399635609,0.0109847252,0.0000044235,0.0010586303,74.1716864801,1.0000000000,0.7000000000,403.5079018310
"305",2314.0000000000,10499.2845190147,35.1725982083,0.0025497873,0.0396689357,0.0108223894,0.0000042304,0.0010455182,73.7970628422,1.0000000000,0.7000000000,411.5780598676
"306",2315.0000000000,10499.3048122760,35.2625101084,0.0025345344,0.0393767739,0.0106624526,0.0000040458,0.0010325762,73.4243313397,1.0000000000,0.7000000000,419.8096210649
"307",2316.0000000000,10499.3245299759,35.3521112494,0.0025193727,0.0390870529,0.0105048794,0.0000038692,0.0010198019,73.0534824158,1.0000000000,0.7000000000,428.2058134862
"308",2317.0000000000,10499.3436884377,35.4414013482,0.0025043017,0.0387997501,0.0103496349,0.0000037003,0.0010071931,72.6845065621,1.0000000000,0.7000000000,436.7699297560
"309",2318.0000000000,10499.3623035215,35.5303801402,0.0024893209,0.0385148432,0.0101966846,0.0000035388,0.0009947475,72.3173943181,1.0000000000,0.7000000000,445.5053283511
"310",2319.0000000000,10499.3803906379,35.6190473791,0.0024744297,0.0382323101,0.0100459947,0.0000033843,0.0009824630,71.9521362712,1.0000000000,0.7000000000,454.4154349181
"311",2320.0000000000,10499.3979647604,35.7074028367,0.0024596276,0.0379521290,0.0098975317,0.0000032366,0.0009703373,71.5887230562,1.0000000000,0.7000000000,463.5037436165
"312",2321.0000000000,10499.4150404379,35.7954463030,0.0024449140,0.0376742784,0.0097512628,0.0000030954,0.0009583683,71.2271453554,1.0000000000,0.7000000000,472.7738184888
"313",2322.0000000000,10499.4316318067,35.8831775855,0.0024302884,0.0373987367,0.0096071555,0.0000029603,0.0009465539,70.8673938980,1.0000000000,0.7000000000,482.2292948586
"314",2323.0000000000,10499.4477526024,35.9705965095,0.0024157503,0.0371254827,0.0094651778,0.0000028310,0.0009348920,70.5094594601,1.0000000000,0.7000000000,491.8738807557
"315",2324.0000000000,10499.4634161709,36.0577029177,0.0024012992,0.0368544956,0.0093252983,0.0000027075,0.0009233806,70.1533328644,1.0000000000,0.7000000000,501.7113583709
"316",2325.0000000000,10499.4786354796,36.1444966700,0.0023869346,0.0365857545,0.0091874860,0.0000025893,0.0009120176,69.7990049798,1.0000000000,0.7000000000,511.7455855383
"317",2326.0000000000,10499.4934231283,36.2309776434,0.0023726559,0.0363192388,0.0090517104,0.0000024763,0.0009008010,69.4464667215,1.0000000000,0.7000000000,521.9804972490
"318",2327.0000000000,10499.5077913595,36.3171457317,0.0023584625,0.0360549283,0.0089179413,0.0000023682,0.0008897289,69.0957090506,1.0000000000,0.7000000000,532.4201071940
"319",2328.0000000000,10499.5217520684,36.4030008455,0.0023443541,0.0357928027,0.0087861490,0.0000022648,0.0008787992,68.7467229736,1.0000000000,0.7000000000,543.0685093379
"320",2329.0000000000,10499.5353168129,36.4885429118,0.0023303301,0.0355328420,0.0086563044,0.0000021660,0.0008680102,68.3994995428,1.0000000000,0.7000000000,553.9298795247
"321",2330.0000000000,10499.5484968232,36.5737718740,0.0023163900,0.0352750265,0.0085283788,0.0000020714,0.0008573599,68.0540298553,1.0000000000,0.7000000000,565.0084771151
"322",2331.0000000000,10499.5613030110,36.6586876917,0.0023025333,0.0350193367,0.0084023436,0.0000019810,0.0008468464,67.7103050535,1.0000000000,0.7000000000,576.3086466575
